Reporting country,Reference period,Item code,Item name,IORP type,Value,Date of extraction (yyyymmdd)
BE,2023,R0090,of which new retired members,DB,3761.0,20250716
BE,2023,R0090,of which new retired members,DC,15.0,20250716
BE,2024,R0008,Active members,DB,1325511.0,20250716
BE,2024,R0008,Active members,DC,11871.0,20250716
BE,2024,R0009,Active members reported by exempted IORPs,DB,,20250716
BE,2024,R0009,Active members reported by exempted IORPs,DC,,20250716
BE,2024,R0010,Active members reported by non-exempted IORPs,DB,1325511.0,20250716
BE,2024,R0010,Active members reported by non-exempted IORPs,DC,11871.0,20250716
BE,2024,R0018,Deferred members,DB,1033833.0,20250716
BE,2024,R0018,Deferred members,DC,9097.0,20250716
BE,2024,R0019,Deferred members reported by exempted IORPs,DB,,20250716
BE,2024,R0019,Deferred members reported by exempted IORPs,DC,,20250716
BE,2024,R0020,Deferred members reported by non-exempted IORPs,DB,1033833.0,20250716
BE,2024,R0020,Deferred members reported by non-exempted IORPs,DC,9097.0,20250716
BE,2024,R0028,Beneficiaries,DB,252529.0,20250716
BE,2024,R0028,Beneficiaries,DC,33.0,20250716
BE,2024,R0029,Beneficiaries reported by exempted IORPs,DB,,20250716
BE,2024,R0029,Beneficiaries reported by exempted IORPs,DC,,20250716
BE,2024,R0030,Beneficiaries reported by non-exempted IORPs,DB,252529.0,20250716
BE,2024,R0030,Beneficiaries reported by non-exempted IORPs,DC,33.0,20250716
BE,2024,R0040,New members,DB,100470.0,20250716
BE,2024,R0040,New members,DC,3907.0,20250716
BE,2024,R0050,Deaths,DB,2949.0,20250716
BE,2024,R0050,Deaths,DC,8.0,20250716
BE,2024,R0060,Commutations,DB,1163.0,20250716
BE,2024,R0060,Commutations,DC,80.0,20250716
BE,2024,R0070,Other exits,DB,39338.0,20250716
BE,2024,R0070,Other exits,DC,92.0,20250716
BE,2024,R0080,New beneficiaries,DB,19474.0,20250716
BE,2024,R0080,New beneficiaries,DC,37.0,20250716
BE,2024,R0090,of which new retired members,DB,3912.0,20250716
BE,2024,R0090,of which new retired members,DC,19.0,20250716
DE,2020,R0008,Active members,no split available,5811793.0,20250716
