Reporting country,Reference period,Item code,Item name,IORP type,Value (euro millions),Date of extraction (yyyymmdd)
LI,2022,R0030,Tax expenses,no split available,0.026047,20250716
LI,2022,R0040,Other expenses,no split available,20.191539,20250716
LI,2022,R0050,Total expenses,no split available,23.925811,20250716
LI,2023,R0010,Administrative expenses,no split available,1.664724,20250716
LI,2023,R0020,Investment expenses,no split available,1.457397,20250716
LI,2023,R0030,Tax expenses,no split available,0.095319,20250716
LI,2023,R0040,Other expenses,no split available,27.40228,20250716
LI,2023,R0050,Total expenses,no split available,30.61972,20250716
LI,2024,R0010,Administrative expenses,no split available,1.563862,20250716
LI,2024,R0020,Investment expenses,no split available,1.08354,20250716
LI,2024,R0030,Tax expenses,no split available,0.152552,20250716
LI,2024,R0040,Other expenses,no split available,8.764157,20250716
LI,2024,R0050,Total expenses,no split available,11.564112,20250716
LU,2020,R0010,Administrative expenses,DB,1.684021,20250716
LU,2020,R0010,Administrative expenses,DC,0.78667,20250716
LU,2020,R0020,Investment expenses,DB,2.406982,20250716
LU,2020,R0020,Investment expenses,DC,0.125623,20250716
LU,2020,R0030,Tax expenses,DB,0.043111,20250716
LU,2020,R0030,Tax expenses,DC,0.027206,20250716
LU,2020,R0040,Other expenses,DB,1.623067,20250716
LU,2020,R0040,Other expenses,DC,0.512607,20250716
LU,2020,R0050,Total expenses,DB,5.757182,20250716
LU,2020,R0050,Total expenses,DC,1.452106,20250716
LU,2021,R0010,Administrative expenses,DB,1.493707,20250716
LU,2021,R0010,Administrative expenses,DC,0.989551,20250716
LU,2021,R0020,Investment expenses,DB,2.498526,20250716
LU,2021,R0020,Investment expenses,DC,0.353376,20250716
LU,2021,R0030,Tax expenses,DB,0.041625,20250716
LU,2021,R0030,Tax expenses,DC,0.031114,20250716
LU,2021,R0040,Other expenses,DB,0.987322,20250716
LU,2021,R0040,Other expenses,DC,0.164091,20250716
LU,2021,R0050,Total expenses,DB,5.021181,20250716
LU,2021,R0050,Total expenses,DC,1.538131,20250716
LU,2022,R0010,Administrative expenses,DB,1.56169,20250716
LU,2022,R0010,Administrative expenses,DC,1.101205,20250716
LU,2022,R0020,Investment expenses,DB,2.418884,20250716
LU,2022,R0020,Investment expenses,DC,0.38031,20250716
LU,2022,R0030,Tax expenses,DB,0.039795,20250716
LU,2022,R0030,Tax expenses,DC,0.019971,20250716
LU,2022,R0040,Other expenses,DB,0.965296,20250716
LU,2022,R0040,Other expenses,DC,0.161751,20250716
LU,2022,R0050,Total expenses,DB,4.985665,20250716
LU,2022,R0050,Total expenses,DC,1.663237,20250716
LU,2023,R0010,Administrative expenses,DB,1.293415,20250716
LU,2023,R0010,Administrative expenses,DC,1.215981,20250716
LU,2023,R0020,Investment expenses,DB,2.009791,20250716
LU,2023,R0020,Investment expenses,DC,0.334114,20250716
LU,2023,R0030,Tax expenses,DB,0.022795,20250716
LU,2023,R0030,Tax expenses,DC,0.018351,20250716
LU,2023,R0040,Other expenses,DB,0.37865,20250716
LU,2023,R0040,Other expenses,DC,0.442869,20250716
LU,2023,R0050,Total expenses,DB,3.70465,20250716
LU,2023,R0050,Total expenses,DC,2.011315,20250716
LU,2024,R0010,Administrative expenses,DB,1.364568,20250716
LU,2024,R0010,Administrative expenses,DC,1.120455,20250716
LU,2024,R0020,Investment expenses,DB,2.135827,20250716
LU,2024,R0020,Investment expenses,DC,0.284535,20250716
LU,2024,R0030,Tax expenses,DB,0.025248,20250716
